               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.020613,            0.004929,                   0,             0.93476,             0.95122,              0.9803,             0.63905,            0.025006,           0.0030896,                   0,            0.003532,            0.003532,            0.003532
                  51,            0.020683,           0.0050235,                   0,             0.94024,             0.95947,              0.9774,             0.61834,            0.026667,           0.0030877,                   0,              0.0034,              0.0034,              0.0034
                  52,            0.020408,           0.0049255,                   0,             0.91826,             0.97561,             0.97623,             0.63318,            0.024352,           0.0029837,                   0,            0.003268,            0.003268,            0.003268
                  53,             0.01977,           0.0048623,                   0,             0.91761,             0.97561,             0.97639,             0.63656,            0.023964,           0.0029624,                   0,            0.003136,            0.003136,            0.003136
                  54,             0.02029,           0.0046955,                   0,             0.93019,             0.97499,             0.97521,               0.649,            0.023758,            0.003021,                   0,            0.003004,            0.003004,            0.003004
                  55,             0.01963,           0.0049198,                   0,             0.91816,             0.97561,             0.97469,             0.64787,            0.024379,           0.0029801,                   0,            0.002872,            0.002872,            0.002872
                  56,            0.019769,           0.0046896,                   0,             0.93924,              0.9878,             0.98219,             0.65838,              0.0235,           0.0029357,                   0,             0.00274,             0.00274,             0.00274
                  57,            0.018538,           0.0046501,                   0,             0.93091,             0.98594,             0.98263,             0.64943,            0.025491,           0.0030267,                   0,            0.002608,            0.002608,            0.002608
                  58,            0.019032,           0.0045851,                   0,             0.93747,             0.96341,             0.97456,             0.64365,            0.024408,           0.0030014,                   0,            0.002476,            0.002476,            0.002476
                  59,            0.019256,           0.0046668,                   0,             0.93019,             0.97498,              0.9729,             0.66514,            0.023869,           0.0030261,                   0,            0.002344,            0.002344,            0.002344
                  60,            0.019133,           0.0043247,                   0,              0.9302,             0.97518,             0.98129,             0.67905,            0.022518,           0.0030156,                   0,            0.002212,            0.002212,            0.002212
                  61,             0.01818,           0.0045603,                   0,             0.93003,             0.97253,             0.98291,             0.65881,            0.023097,           0.0030125,                   0,             0.00208,             0.00208,             0.00208
                  62,            0.018502,           0.0047647,                   0,             0.94381,             0.95122,             0.98123,              0.6869,            0.022367,           0.0030095,                   0,            0.001948,            0.001948,            0.001948
                  63,             0.01783,           0.0044651,                   0,             0.93008,             0.97341,             0.97413,             0.67414,            0.022531,           0.0030062,                   0,            0.001816,            0.001816,            0.001816
                  64,            0.018333,           0.0048766,                   0,              0.9283,             0.96341,             0.97388,             0.66517,            0.024364,           0.0029738,                   0,            0.001684,            0.001684,            0.001684
                  65,            0.018699,           0.0046819,                   0,             0.92792,             0.96341,             0.97509,              0.6643,              0.0239,           0.0030192,                   0,            0.001552,            0.001552,            0.001552
                  66,            0.018036,           0.0046472,                   0,             0.93013,             0.97409,             0.97699,             0.64378,            0.024045,           0.0029876,                   0,             0.00142,             0.00142,             0.00142
                  67,            0.017453,            0.004292,                   0,             0.92903,             0.96341,             0.97143,             0.67425,            0.023448,            0.002962,                   0,            0.001288,            0.001288,            0.001288
                  68,            0.017182,           0.0043846,                   0,              0.9273,             0.96341,             0.96954,             0.64923,            0.024206,           0.0030468,                   0,            0.001156,            0.001156,            0.001156
                  69,            0.016747,           0.0045065,                   0,             0.92705,             0.96341,             0.96995,              0.6499,            0.024041,           0.0030363,                   0,            0.001024,            0.001024,            0.001024
                  70,            0.017378,            0.004388,                   0,             0.92722,             0.96341,             0.96828,             0.66991,            0.022638,           0.0030088,                   0,            0.000892,            0.000892,            0.000892
                  71,            0.017306,           0.0042779,                   0,             0.91922,             0.97561,             0.96838,             0.62063,            0.025584,           0.0030702,                   0,             0.00076,             0.00076,             0.00076
                  72,            0.016938,           0.0043176,                   0,             0.92798,             0.96341,             0.97086,             0.63674,            0.025012,           0.0030462,                   0,            0.000628,            0.000628,            0.000628
                  73,            0.016747,           0.0043293,                   0,             0.92775,             0.96341,             0.97523,             0.66633,            0.023485,           0.0030034,                   0,            0.000496,            0.000496,            0.000496
                  74,            0.017147,            0.004228,                   0,             0.92794,             0.96341,             0.97445,             0.64505,            0.024612,           0.0030446,                   0,            0.000364,            0.000364,            0.000364
