epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,636.826,2.09436,1.36398,2.15008,0.8583,0.92683,0.95673,0.62622,2.5655,1.23157,2.2461,0.000548,0.000548,0.000548
57,647.998,2.10385,1.29949,2.11205,0.95957,0.86832,0.96002,0.6475,2.50092,1.15905,2.22177,0.0005216,0.0005216,0.0005216
58,659.288,2.05464,1.33149,2.11449,0.88855,0.87508,0.94446,0.63064,2.44768,1.18487,2.17713,0.0004952,0.0004952,0.0004952
59,670.419,2.09916,1.33829,2.12073,0.92498,0.90224,0.95086,0.67471,2.26928,1.12057,2.15115,0.0004688,0.0004688,0.0004688
60,681.495,2.0379,1.29023,2.08323,0.9472,0.87514,0.96152,0.66686,2.40316,1.12679,2.17212,0.0004424,0.0004424,0.0004424
61,692.656,2.0057,1.21857,2.08533,0.88214,0.91278,0.94806,0.66033,2.34686,1.17238,2.22629,0.000416,0.000416,0.000416
62,703.935,2.01582,1.2771,2.0712,0.8505,0.92683,0.95509,0.63488,2.51485,1.13924,2.23186,0.0003896,0.0003896,0.0003896
63,715.122,2.02245,1.2703,2.07223,0.83801,0.91463,0.95127,0.66013,2.28344,1.15271,2.16867,0.0003632,0.0003632,0.0003632
64,726.277,2.03361,1.25627,2.1133,0.88574,0.94537,0.95917,0.65844,2.35882,1.12833,2.18867,0.0003368,0.0003368,0.0003368
65,737.361,2.033,1.28064,2.09845,0.87681,0.92683,0.95611,0.63612,2.52611,1.165,2.23895,0.0003104,0.0003104,0.0003104
66,762.167,1.76936,0.99531,2.01162,0.93768,0.91743,0.95688,0.63412,2.48887,1.07306,2.23456,0.000284,0.000284,0.000284
67,773.227,1.74106,0.91806,2.00228,0.92739,0.93461,0.95483,0.67203,2.28694,1.05153,2.18227,0.0002576,0.0002576,0.0002576
68,784.271,1.72921,0.90055,2.04127,0.91303,0.89627,0.95002,0.62918,2.52937,1.11419,2.20069,0.0002312,0.0002312,0.0002312
69,795.431,1.74384,0.88253,1.99859,0.93076,0.93902,0.96495,0.66459,2.35377,1.06467,2.15713,0.0002048,0.0002048,0.0002048
70,806.548,1.69457,0.8612,1.98054,0.92619,0.91823,0.96497,0.69122,2.24356,1.02326,2.12182,0.0001784,0.0001784,0.0001784
71,817.769,1.70979,0.87121,1.99205,0.93605,0.90244,0.96034,0.64737,2.39129,1.06631,2.17916,0.000152,0.000152,0.000152
72,828.908,1.66791,0.8248,1.97061,0.89419,0.95122,0.95796,0.65365,2.36271,1.07725,2.15646,0.0001256,0.0001256,0.0001256
73,840.192,1.62152,0.85477,1.94524,0.92659,0.92362,0.96511,0.67922,2.33074,1.00697,2.18907,9.92e-05,9.92e-05,9.92e-05
74,851.422,1.62183,0.81997,1.94152,0.92658,0.92352,0.96468,0.67037,2.32775,1.03676,2.17011,7.28e-05,7.28e-05,7.28e-05
75,862.785,1.63517,0.84111,1.95471,0.93157,0.92683,0.96836,0.67728,2.30519,1.01747,2.16083,4.64e-05,4.64e-05,4.64e-05
