epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,752.985,2.07588,1.31186,2.1545,0.82046,0.95122,0.94824,0.62595,2.54103,1.13333,2.42874,0.000713,0.000713,0.000713
67,764.382,2.09344,1.32738,2.1382,0.82436,0.91583,0.9494,0.59199,2.70598,1.1902,2.50632,0.0006932,0.0006932,0.0006932
68,775.58,2.0176,1.27276,2.12615,0.83891,0.96341,0.93738,0.6434,2.36854,1.12312,2.35952,0.0006734,0.0006734,0.0006734
69,786.781,2.02037,1.22571,2.11139,0.87217,0.9153,0.95342,0.6225,2.70858,1.17878,2.4058,0.0006536,0.0006536,0.0006536
70,798.052,2.00443,1.25837,2.13824,0.89915,0.85366,0.95587,0.64638,2.4309,1.08581,2.28092,0.0006338,0.0006338,0.0006338
71,809.371,2.01799,1.27809,2.12569,0.91504,0.91944,0.96268,0.64835,2.3768,1.01033,2.29394,0.000614,0.000614,0.000614
72,820.719,2.03605,1.30568,2.12984,0.87212,0.93902,0.96644,0.67871,2.29382,1.07645,2.22299,0.0005942,0.0005942,0.0005942
73,831.976,2.08012,1.26792,2.14285,0.87842,0.96922,0.97106,0.67071,2.351,1.01078,2.23511,0.0005744,0.0005744,0.0005744
74,843.274,2.04415,1.2288,2.1033,0.90493,0.92865,0.96753,0.64547,2.51319,1.04846,2.45979,0.0005546,0.0005546,0.0005546
75,854.587,2.04614,1.2722,2.12722,0.84699,0.93902,0.96334,0.66577,2.38792,1.10959,2.35472,0.0005348,0.0005348,0.0005348
76,865.992,1.99871,1.25385,2.10649,0.90018,0.93902,0.9687,0.7073,2.16152,1.01655,2.27968,0.000515,0.000515,0.000515
77,877.432,1.98431,1.21429,2.08642,0.90404,0.91916,0.96562,0.66776,2.31255,0.99524,2.30469,0.0004952,0.0004952,0.0004952
78,888.609,1.95709,1.22464,2.08538,0.85553,0.93883,0.96589,0.65767,2.38966,1.12118,2.24496,0.0004754,0.0004754,0.0004754
79,899.808,1.94879,1.15894,2.06398,0.90409,0.91964,0.96647,0.6786,2.31937,1.0156,2.24067,0.0004556,0.0004556,0.0004556
80,911.042,1.99606,1.21937,2.12217,0.93765,0.86585,0.96805,0.63804,2.57895,1.05055,2.30066,0.0004358,0.0004358,0.0004358
81,922.463,1.92982,1.13308,2.07225,0.92704,0.92683,0.97066,0.6594,2.48588,1.03734,2.34249,0.000416,0.000416,0.000416
82,933.768,1.98477,1.16876,2.0732,0.94559,0.91463,0.96344,0.69211,2.24501,0.99948,2.19626,0.0003962,0.0003962,0.0003962
83,945.361,1.95048,1.16802,2.09129,0.88749,0.92683,0.96404,0.65499,2.52052,1.07961,2.31517,0.0003764,0.0003764,0.0003764
84,956.616,1.96167,1.26525,2.10346,0.88563,0.9444,0.96268,0.66794,2.40639,1.05613,2.28551,0.0003566,0.0003566,0.0003566
85,968.109,1.87351,1.11448,2.04152,0.92575,0.92683,0.97183,0.69315,2.2554,0.98931,2.23521,0.0003368,0.0003368,0.0003368
86,979.524,1.8847,1.14968,2.05846,0.92355,0.91463,0.96063,0.65001,2.46167,1.0737,2.27035,0.000317,0.000317,0.000317
87,990.92,1.96164,1.20444,2.08186,0.9368,0.90389,0.9694,0.66628,2.48153,1.03268,2.2987,0.0002972,0.0002972,0.0002972
88,1002.3,1.97873,1.19502,2.0891,0.94862,0.90058,0.96392,0.66111,2.45232,1.02723,2.26495,0.0002774,0.0002774,0.0002774
89,1013.68,1.92673,1.12895,2.09291,0.93081,0.89024,0.96964,0.66647,2.31973,1.0348,2.20383,0.0002576,0.0002576,0.0002576
90,1024.89,1.82088,1.10596,2.06352,0.91027,0.92683,0.96967,0.69711,2.22692,0.99441,2.14929,0.0002378,0.0002378,0.0002378
91,1050.44,1.62557,0.84624,1.97175,0.87124,0.9077,0.96132,0.68014,2.24242,1.02237,2.16027,0.000218,0.000218,0.000218
92,1061.44,1.64906,0.81406,1.98709,0.88278,0.91843,0.96557,0.68595,2.22049,0.98016,2.16204,0.0001982,0.0001982,0.0001982
93,1072.34,1.62728,0.8291,1.95862,0.86269,0.91944,0.95917,0.65391,2.367,1.05478,2.23063,0.0001784,0.0001784,0.0001784
94,1083.29,1.59367,0.77294,1.96022,0.8562,0.93902,0.96642,0.68243,2.29649,1.00989,2.1747,0.0001586,0.0001586,0.0001586
95,1094.3,1.579,0.76429,1.9241,0.88626,0.93902,0.97197,0.67582,2.28508,0.97317,2.19897,0.0001388,0.0001388,0.0001388
96,1105.34,1.61101,0.77903,1.95676,0.93914,0.91463,0.97395,0.69235,2.27456,0.96976,2.17348,0.000119,0.000119,0.000119
97,1116.46,1.59317,0.77811,1.94414,0.94742,0.93902,0.97578,0.68694,2.35807,0.97037,2.21326,9.92e-05,9.92e-05,9.92e-05
98,1127.69,1.55739,0.74663,1.93257,0.91651,0.92683,0.97665,0.6859,2.36092,0.96893,2.21012,7.94e-05,7.94e-05,7.94e-05
99,1138.63,1.5578,0.76725,1.94069,0.94131,0.90244,0.97568,0.69269,2.30701,0.97507,2.18228,5.96e-05,5.96e-05,5.96e-05
100,1149.67,1.54904,0.74601,1.92404,0.90878,0.92683,0.97144,0.6809,2.33353,0.99798,2.20597,3.98e-05,3.98e-05,3.98e-05
